conjunto,id,status,meta_otimizacao,estrategia_lance,gasto_brl,compras,roas,cpa_brl,ctr,frequencia,atualizado
01 - [FEED/STORIES] ADV+,120253614095870102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,2415.99,40,3.29,60.4,"2,05%",1.4,2026-06-23
01 - [FEED/STORIES] ADV+,120252666933330102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,2387.06,32,3.06,74.6,"1,88%",1.54,2026-06-10
01 - IG & FB - ADV+,120240077768030102,CAMPAIGN_PAUSED,PROFILE_VISIT,,2187.68,0,0.0,,"5,76%",1.22,2025-11-17
01 - [FEED/STORIES] ADV+,120254152494810102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,2147.92,37,3.22,58.05,"2,26%",1.42,2026-06-30
01 - Campeões,120251354848020102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,2118.19,42,4.79,50.43,"1,69%",1.54,2026-05-22
01 - Nordeste,120252678192340102,CAMPAIGN_PAUSED,VALUE,,2091.81,21,3.3,99.61,"1,26%",2.44,2026-06-10
01 - IG & FB - ADV+,120253201548350102,CAMPAIGN_PAUSED,PROFILE_VISIT,,2069.95,0,0.0,,"4,75%",1.13,2026-06-18
01 - Sul,120253000772560102,CAMPAIGN_PAUSED,VALUE,,1940.02,31,4.3,62.58,"1,49%",1.84,2026-06-15
01 - [FEED/STORIES] FRIO,120251759324020102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,1913.73,31,3.85,61.73,"2,28%",1.76,2026-05-28
01 - [FEED/STORIES] ADV+,120253001744260102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,1789.45,38,5.24,47.09,"2,12%",1.88,2026-06-15
01 - Geral,120251760077280102,CAMPAIGN_PAUSED,PROFILE_AND_PAGE_ENGAGEMENT,,1603.74,2,0.25,801.87,"4,00%",1.3,2026-05-28
02 - [FEED/STORIES] FRIO,120253066643640102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,Highest volume,1529.52,22,3.18,69.52,"1,40%",1.61,2026-06-16
01 - [FEED/STORIES] ADV+,120252325753910102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,1493.8,14,2.22,106.7,"1,68%",1.53,2026-06-08
01 - Academias,120253002066560102,CAMPAIGN_PAUSED,VALUE,,1467.78,25,4.2,58.71,"1,61%",1.52,2026-06-15
01 - [FEED/STORIES] QUENTE,120254795820930102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,1366.74,38,5.39,35.97,"2,78%",1.64,2026-07-21
01 - [FEED/STORIES] ADV+,120252665191060102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,1325.85,21,3.73,63.14,"2,63%",1.68,2026-06-10
01 - [FEED/STORIES] FRIO,120253066643650102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,Highest volume,1247.38,23,4.34,54.23,"2,07%",1.46,2026-06-16
01 - [FEED/STORIES] FRIO,120254883504570102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,1232.05,57,12.14,21.61,"2,23%",1.85,2026-07-27
01 - [FEED/STORIES] ADV+,120254155088380102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,1211.29,18,3.32,67.29,"1,86%",1.21,2026-06-30
